seed,C,x,acc
941851,0.03125,"[ 0.79394859  0.30039029  0.92971738 -0.946564   -0.78854014 -0.13338047
 -0.21748741 -0.02642428]",0.7552083333333334
936159,0.03125,"[ 0.01106791  0.71467266  0.99665845 -0.9582055   0.28128658 -0.59490909
 -0.02261541 -0.10800252]",0.796875
118334,0.03125,"[ 0.36888334  0.99719175  0.99273574 -0.89671669 -0.99893064  0.75443675
 -0.18404068 -0.07687651]",0.734375
108183,0.03125,"[ 0.59234957  0.84616284  0.98826853 -0.9802136  -0.61994407  0.50873675
 -0.38330587 -0.14083728]",0.7395833333333334
479829,0.03125,"[-0.72878247 -0.9513978   0.61419381  0.91984598  0.63911693  0.98838297
  0.032793    0.05395365]",0.7604166666666666
773980,0.03125,"[ 0.55566452 -0.7019431   0.07334567 -0.91309901 -0.63324258 -0.24067651
 -0.00553157 -0.02938504]",0.78125
910215,0.03125,"[ 0.94542945 -0.95511569 -0.62706659  0.29645383 -0.13666533  0.11205416
  0.04418328  0.00816678]",0.7135416666666666
895438,0.03125,"[ 0.0504638  -0.60968711  0.05568621  0.89020422  0.78686383  0.76599616
 -0.16495274  0.10555951]",0.8125
228808,0.03125,"[-0.56138996 -0.54208517 -0.2346277   0.76494581  0.65286115  0.42988052
 -0.05880094  0.07438447]",0.8072916666666666
119632,0.03125,"[-0.85460683 -0.279225   -0.15074985  0.77069793  0.24022318  0.1178908
  0.23526931  0.01876552]",0.796875
745699,0.03125,"[ 0.73250715 -0.83838778  0.98140368  0.87709447  0.60032415  0.50738918
  0.32670372  0.01552683]",0.7604166666666666
680352,0.03125,"[ 0.45569446 -0.34683265 -0.82965487 -0.96130507  0.10330526 -0.90070133
  0.09674503 -0.03367161]",0.78125
717830,0.03125,"[ 0.05924244 -0.99989323  0.82616269  0.78200496  0.4334134  -0.3617144
  0.24780813  0.02653033]",0.7552083333333334
988865,0.03125,"[-0.75027363  0.11783315 -0.99086798  0.8382853   0.38807937  0.19685732
 -0.08083612  0.10017503]",0.8177083333333334
842375,0.03125,"[ 0.77818392  0.93158248  0.22803507 -0.73476751 -0.93375989 -0.98739598
 -0.02307947 -0.08402568]",0.7604166666666666
750994,0.03125,"[-0.91960952 -0.99919025  0.45255422  0.80546263  0.08297735  0.92037525
  0.45786422  0.04531026]",0.7604166666666666
719354,0.03125,"[-0.99998761 -0.26318597  0.17265483  0.90870472  0.28761765  0.72907282
 -0.11467614  0.08100013]",0.7916666666666666
329909,0.03125,"[ 0.82067166 -0.03544364 -0.02896672 -0.48373775 -0.7437229  -0.31016138
  0.01843136 -0.02618605]",0.796875
599749,0.03125,"[-0.00777187 -0.96387114 -0.9498472   0.92706327  0.93258863  0.62800993
  0.13786712  0.02800008]",0.765625
328876,0.03125,"[ 0.38168532 -0.21378833  0.8187759  -0.98406454 -0.98262205 -0.1192967
 -0.19859241 -0.04024811]",0.7708333333333334
161269,0.03125,"[-0.70654642  0.25286763  0.98915575 -0.93016154  0.90868166 -0.94672416
 -0.00734462 -0.02896759]",0.703125
422522,0.03125,"[ 0.16181546  0.43644754 -0.74563397 -0.7411005  -0.27436575 -0.23797578
 -0.22382468 -0.04297892]",0.765625
858762,0.03125,"[ 0.02268031  0.90791354  0.8183143   0.69119826 -0.21890651  0.86940722
  0.00907716  0.03492355]",0.7760416666666666
195498,0.03125,"[-0.60184111 -0.9434947  -0.78403506  0.83832512  0.9827658   0.66843305
 -0.25445377  0.08280873]",0.7604166666666666
167992,0.03125,"[ 0.59369989  0.71205048 -0.26300115 -0.56896318 -0.96829996  0.17541121
 -0.01779615 -0.0937025 ]",0.796875
452798,0.03125,"[ 0.99906185 -0.85951454  0.99121497 -0.91217983 -0.61614725 -0.72611134
 -0.5478275  -0.01236451]",0.7604166666666666
928982,0.03125,"[-0.72256429 -0.73846345 -0.72051834  0.65899277  0.17912561 -0.32226709
  0.49619119  0.01515289]",0.7552083333333334
930767,0.03125,"[-0.19046295 -0.64042881 -0.79333862 -0.9390456  -0.20188944 -0.43778837
 -0.06875185 -0.04085462]",0.7760416666666666
281191,0.03125,"[ 0.31710226 -0.91802824 -0.8355196   0.97892348  0.2372399   0.97829333
 -0.28631615  0.18867944]",0.7604166666666666
837153,0.03125,"[-0.8654491   0.99146154 -0.45957227 -0.76061714 -0.99367881 -0.40404608
 -0.26222254 -0.0914133 ]",0.7864583333333334
941851,0.125,"[ 0.52900113  0.49941797  0.86118097 -0.867328   -0.91465842 -0.91904486
 -0.5189613  -0.11058435]",0.75
936159,0.125,"[ 0.91099784 -0.63086133 -0.69562104  0.90175778  0.80903636  0.5421727
  0.08114961  0.25718915]",0.7916666666666666
118334,0.125,"[ 0.75486716  0.29637518  0.53777362 -0.69053813  0.0262589  -0.27577792
  0.02630613 -0.50703255]",0.7395833333333334
108183,0.125,"[-0.3138357   0.91204606  0.35171343 -0.86569003 -0.99021671  0.82680312
 -0.67296426 -0.4463298 ]",0.7395833333333334
479829,0.125,"[ 0.43553183 -0.20711663 -0.83607269 -0.96029513 -0.38584226 -0.54552708
 -0.93323124 -0.15044313]",0.765625
773980,0.125,"[ 0.09303644  0.9343298  -0.10765609  0.73415971  0.81986854  0.59754225
  0.02962409  0.08308848]",0.7760416666666666
910215,0.125,"[ 0.98984101  0.9578107   0.36310408 -0.64347747 -0.73483627 -0.9985481
  0.00416628 -0.11362268]",0.7239583333333334
895438,0.125,"[ 0.22548963  0.44015414  0.73213969 -0.62725996  0.69443986 -0.09662387
 -0.38926552 -0.6022235 ]",0.8125
228808,0.125,"[-0.12277308  0.56331669  0.3534178  -0.94870083 -0.23211281 -0.71562327
 -0.86785617 -0.31966099]",0.8072916666666666
119632,0.125,"[-0.64884276  0.46472553  0.97913279  0.77443943 -0.48401115  0.36520357
  0.99705275  0.0757994 ]",0.8020833333333334
745699,0.125,"[-0.31160157  0.25479331 -0.62171539  0.9082413  -0.66245414  0.18568923
  0.76031326  0.06296981]",0.765625
680352,0.125,"[-0.13643655 -0.46581644 -0.79429531  0.94123935  0.79712042 -0.0787651
  0.33235598  0.08144472]",0.7864583333333334
717830,0.125,"[ 0.14319076 -0.17344274 -0.00663531  0.38844011  0.26184316  0.52395331
 -0.03884522  0.06619532]",0.765625
988865,0.125,"[ 0.98858734 -0.54941342  0.93810365 -0.93196387 -0.66189952 -0.53672174
 -0.05618852 -0.3116712 ]",0.8072916666666666
842375,0.125,"[ 0.16948073 -0.92703511 -0.63179333 -0.74006426 -0.82928198 -0.99709181
 -0.13186154 -0.16332608]",0.765625
750994,0.125,"[-0.48294711 -0.34589745 -0.4132533   0.88093267 -0.12649635  0.98703374
  0.57118882  0.20138719]",0.765625
719354,0.125,"[-0.25546784  0.38562742 -0.962954    0.99829614  0.4681452   0.71860312
  0.65831131  0.23245162]",0.7864583333333334
329909,0.125,"[ 0.60999207  0.04177048  0.48359271  0.99985252 -0.26698499  0.54377177
  0.91530523  0.20349017]",0.7864583333333334
599749,0.125,"[ 0.73637689 -0.83308091  0.81977434 -0.92438427 -0.89333201  0.95968857
 -0.68392069 -0.08421141]",0.7604166666666666
328876,0.125,"[ 0.66108158  0.22868769  0.06308964 -0.90651029 -0.79671615  0.07931749
 -0.89976124 -0.113349  ]",0.765625
161269,0.125,"[ 0.96147471  0.59522893  0.73312337 -0.59336599 -0.26306737 -0.43161802
 -0.88107441 -0.03461486]",0.7083333333333334
422522,0.125,"[ 0.92956651  0.05616336  0.41908452 -0.84012009 -0.9999971   0.019149
 -0.64496114 -0.30364027]",0.765625
858762,0.125,"[-0.21336726 -0.57477934 -0.71309861  0.90433383  0.97994388  0.82950989
  0.7868349   0.43180291]",0.7708333333333334
195498,0.125,"[-0.38844094  0.60499613  0.98856239 -0.99390567 -0.17301294 -0.19841666
 -0.39506383 -0.24953016]",0.7552083333333334
167992,0.125,"[ 0.01112569  0.91818259 -0.99238984  0.68001155  0.09284378  0.30025348
 -0.15614397  0.11440871]",0.7916666666666666
452798,0.125,"[ 0.88526888 -0.96326617 -0.29941586  0.99233545 -0.68985604  0.02196496
  0.7463425   0.06360375]",0.7604166666666666
928982,0.125,"[ 0.46639284  0.60218853  0.83556926 -0.99700769 -0.97824355 -0.28908018
 -0.97170349 -0.71501613]",0.765625
