seed,C,x,acc
941851,0.03125,[-0.3353554   0.8296247  -0.84188975 -0.39314795  0.00775081 -0.0967796 ],0.958041958041958
936159,0.03125,[-0.99916008 -0.95175062  0.99998324  0.60761813  0.06895757  0.13176872],0.986013986013986
118334,0.03125,[-0.19400263 -0.01053601 -0.95679734 -0.36597941 -0.0870781  -0.06890872],0.965034965034965
108183,0.03125,[0.23900335 0.73318573 0.93699813 0.76992729 0.61964856 0.04273279],0.986013986013986
479829,0.03125,[ 0.95416941 -0.78282601  0.6638881   0.96760768 -0.23798279  0.03614388],1.0
773980,0.03125,[ 0.95189897  0.99642776 -0.97352159  0.86225133 -0.79358651 -0.19288468],0.972027972027972
910215,0.03125,[-0.35099676  0.14900488  0.66272198  0.1453561   0.16863997  0.03647846],0.972027972027972
895438,0.03125,[ 0.44780759  0.99948204 -0.54707773 -0.36945083  0.08644694 -0.06297287],0.9790209790209791
228808,0.03125,[-0.15862377 -0.42004605 -0.99611625 -0.78707165 -0.06150134 -0.04731037],0.958041958041958
119632,0.03125,[-0.66578193 -0.9899353   0.97358104  0.73857403  0.54597715  0.06646551],0.993006993006993
745699,0.03125,[-0.73400242 -0.8658359   0.97964522 -0.17701909  0.33362702  0.02741363],0.965034965034965
680352,0.03125,[-0.82456371  0.66612076 -0.59224769 -0.08009388 -0.08507201 -0.01917065],0.9790209790209791
717830,0.03125,[-0.95769375 -0.12130622 -0.79233998 -0.98882893  0.00893438 -0.04268628],0.9790209790209791
988865,0.03125,[ 0.83226534  0.98878914 -0.99927713 -0.47610706 -0.4410146  -0.02985873],0.965034965034965
842375,0.03125,[ 0.98177874 -0.17840689  0.78637537  0.3549908   0.26780574  0.04344658],0.972027972027972
750994,0.03125,[ 0.35838144 -0.78881474 -0.91566266 -0.75408074  0.07780559 -0.033299  ],0.965034965034965
719354,0.03125,[-0.96963243 -0.62963574  0.61685775 -0.07550028 -0.03707115  0.11260125],0.965034965034965
329909,0.03125,[-0.98536917  0.48666798  0.9020329   0.6290686   0.41128293  0.03690851],0.986013986013986
599749,0.03125,[ 0.25653633 -0.14681163  0.79906629  0.83347821 -0.10893878  0.03258562],0.9790209790209791
328876,0.03125,[ 0.96729275  0.66127555 -0.88651477 -0.42449421 -0.94269081 -0.09184218],0.9790209790209791
161269,0.03125,[-0.30524747 -0.48851154  0.96343577  0.62613052 -0.07434012  0.01351339],0.9790209790209791
422522,0.03125,[-0.54984448 -0.22492217  0.96225488  0.10489425  0.63632088  0.03652748],0.972027972027972
858762,0.03125,[ 0.22607747  0.55107325  0.99885177  0.89453743 -0.10455935  0.08617264],0.972027972027972
195498,0.03125,[0.28410723 0.97757404 0.96307664 0.62994906 0.02274304 0.01938463],0.972027972027972
167992,0.03125,[ 0.91651394 -0.41117081  0.9443308  -0.17605203  0.95556268  0.02493642],0.9790209790209791
452798,0.03125,[-0.23048864  0.2773541   0.60783688  0.31511456  0.27410603  0.00808338],0.972027972027972
928982,0.03125,[-0.94414345 -0.94319507  0.92035938  0.49056852 -0.11533555  0.07292599],0.972027972027972
930767,0.03125,[ 0.71072627 -0.31883639 -0.83731502 -0.51840695  0.10116417 -0.00817787],0.9790209790209791
281191,0.03125,[ 0.95078117  0.97128363 -0.91668167  0.06607018 -0.19173252 -0.08257182],0.958041958041958
837153,0.03125,[ 0.56722679 -0.86718834  0.40287171  0.39055179 -0.13899552  0.02426402],0.9790209790209791
941851,0.125,"[ 6.00590753e-04  6.82589801e-01  9.98813725e-01 -2.27658743e-03
  5.18216121e-01  5.54187044e-02]",0.965034965034965
936159,0.125,[ 0.54741965 -0.99935496  0.95576138  0.57741212  0.38709478  0.34403645],0.986013986013986
118334,0.125,[-0.86760682 -0.81819589  0.65451066  0.06164076  0.12786506  0.22068423],0.972027972027972
108183,0.125,[-0.50471704  0.92277589 -0.7222414  -0.83475214  0.33311848 -0.18487631],0.993006993006993
479829,0.125,[ 0.92669887 -0.33272583  0.62199371  0.99583834 -0.22388653  0.11767376],0.993006993006993
