seed,C,x,acc
941851,0.03125,"[-0.76309236 -0.99550144  0.90632707 -0.99580344 -0.26928031  0.7067534
 -0.94074361 -0.03266542]",0.9431818181818182
936159,0.03125,"[ 0.51102287 -0.56793909  0.38261042  0.98057815  0.98194041 -0.93653806
  0.94992076  0.04506905]",0.9545454545454546
118334,0.03125,"[ 0.38489125 -0.10008353  0.92074847  0.87619362  0.01946423  0.6316643
  0.13185591  0.0245931 ]",0.9090909090909091
108183,0.03125,"[ 0.8248416  -0.34305957  0.37732651 -0.89617646 -0.23488329 -0.91060757
 -0.13137503 -0.03976364]",0.9431818181818182
479829,0.03125,"[ 0.55928782  0.59666471 -0.89393793  0.95701914  0.99584174  0.98778337
 -0.0141546   0.03472207]",0.9545454545454546
773980,0.03125,"[ 0.1950513   0.78442561 -0.1049866  -0.76328459  0.2694797  -0.66067009
 -0.05010139 -0.04429839]",0.9204545454545454
910215,0.03125,"[ 0.64617793 -0.83566773  0.99998158  0.99193767  0.34575399  0.76388836
 -0.00767853  0.02091849]",0.9431818181818182
895438,0.03125,"[-0.30740192  0.29849904  0.65490507 -0.90871712 -0.49098144 -0.47318077
  0.1561344  -0.02504068]",0.9772727272727273
228808,0.03125,"[0.10561093 0.66493642 0.94807312 0.98167192 0.73606376 0.57739777
 0.20862561 0.01669104]",0.9431818181818182
119632,0.03125,"[ 0.76067842 -0.16997595 -0.38916893  0.36627721  0.78880525  0.65418092
  0.31039493  0.00867107]",0.9659090909090909
745699,0.03125,"[-0.84385316 -0.96750155  0.5983635  -0.78891702 -0.02040673 -0.9963828
  0.137406   -0.02681317]",0.9545454545454546
680352,0.03125,"[-0.9438716  -0.25747889 -0.98386268  0.99842637 -0.99428993  0.90128632
  0.33084246  0.0185172 ]",0.9318181818181818
717830,0.03125,"[ 0.45890527  0.69568977  0.28315314  0.91352694 -0.21436456  0.86256521
 -0.06279587  0.012532  ]",0.9318181818181818
988865,0.03125,"[-0.62471573  0.57083649  0.02026649 -0.65743135 -0.2363828  -0.55311052
 -0.0529832  -0.01220326]",0.9545454545454546
