seed,C,x,acc
941851,0.03125,"[ 0.20232463  0.19034854 -0.52337289 -0.76779673 -0.25364433 -0.32372133
  0.92066123 -0.2032685   0.47273832  0.00708763  0.38118815  0.95829821
  0.29160658  0.02284101]",0.75
936159,0.03125,"[ 0.99977885 -0.16940851  0.37747214 -0.68628961 -0.18327109 -0.38567593
  0.94959005 -0.89877466 -0.01885186  0.52989286  0.96266998  0.10575427
  0.20079922  0.07815195]",0.796875
118334,0.03125,"[-0.99675296  0.94717993  0.85770496 -0.99899576 -0.99544677 -0.98525558
  0.99525301  0.99442903  0.99843514 -0.9995579   0.97617622 -0.97866464
  0.21790107  0.20977971]",0.7447916666666666
108183,0.03125,"[ 0.45641033 -0.64879197 -0.99904299  0.98226341  0.38844958 -0.33658443
 -0.67193378  0.58826482 -0.42327418  0.35924295 -0.62829357 -0.35829215
  0.02363972 -0.02594266]",0.75
479829,0.03125,"[ 0.75101686 -0.39654849  0.9874402  -0.92377378  0.70127537  0.36549317
 -0.82374799 -0.35634661 -0.2931032  -0.27546726 -0.08833879 -0.93789155
  0.09658137 -0.0458818 ]",0.7708333333333334
773980,0.03125,"[-0.99945234  0.95991622 -0.51066777 -0.61578702 -0.79830193 -0.86624362
  0.79848834  0.93368412 -0.15104149  0.92346812  0.53266693 -0.17998758
  0.04031352  0.03448269]",0.78125
910215,0.03125,"[-0.69240106  0.04697193  0.13859422 -0.17651427  0.01984755 -0.14097175
  0.93303251  0.29434117 -0.73593133  0.80096709  0.98165263  0.0704616
  0.16484905  0.10013356]",0.71875
895438,0.03125,"[ 0.90354698  0.07211416  0.95863338 -0.8214788   0.81833867  0.26661535
 -0.80180917 -0.20147097  0.21412188  0.06412319 -0.05916062 -0.35726195
 -0.09156943 -0.17095207]",0.8125
228808,0.03125,"[ 0.27257483 -0.9929651  -0.99979616 -0.71877796 -0.85281366  0.27454452
  0.78731745  0.81394077  0.6732584   0.32852063 -0.15529886  0.69420133
  0.2868333   0.05928952]",0.8072916666666666
119632,0.03125,"[-0.40133559  0.24049322  0.98440874 -0.40713249 -0.32029772  0.98666955
  0.60930517  0.94867751  0.22483631 -0.41377139  0.49809897  0.45407393
  0.25809004  0.01299446]",0.8020833333333334
745699,0.03125,"[-0.35410552  0.76976599 -0.65621955  0.4372945   0.3659666   0.79440762
 -0.99998732 -0.92658349 -0.04897902  0.95720838  0.83047026 -0.99999749
 -0.66937234 -0.02458211]",0.7604166666666666
680352,0.03125,"[ 0.71275954 -0.86436382  0.99243177  0.52171986  0.17045663  0.67587835
 -0.94545901  0.41336412 -0.01149951 -0.59366698 -0.66907336  0.15375101
 -0.33656268 -0.05517744]",0.7708333333333334
717830,0.03125,"[-0.75400279  0.32891142 -0.68949115 -0.44047578  0.96660446  0.6012271
  0.96701565  0.78946911  0.8625243   0.80989456  0.5274108   0.78485385
  0.00170071  0.06281429]",0.765625
988865,0.03125,"[-0.99308607  0.98603073 -0.03259341 -0.62010659  0.23949724 -0.08901621
 -0.99973393  0.15014662 -0.07928439  0.24255302 -0.99558248 -0.22036341
  0.00782475 -0.08476112]",0.8125
842375,0.03125,"[-0.48711461 -0.71433876 -0.59496157 -0.3839812  -0.70321771 -0.9204647
  0.92274753 -0.47004139  0.93032662  0.64226996  0.99744022 -0.59316022
  0.12914815  0.06637622]",0.7604166666666666
750994,0.03125,"[ 0.77679671 -0.99977207  0.72241649  0.99153678  0.91818129 -0.62613477
 -0.99999575 -0.97835842 -0.46092635 -0.89597215 -0.7441247  -0.97025947
 -0.18727829 -0.18605335]",0.765625
719354,0.03125,"[-0.26102647  0.55386735 -0.12296333 -0.67007347 -0.35302755 -0.18794874
  0.89628949  0.07668499  0.99208858  0.30026698 -0.34011114  0.62081301
  0.43223072  0.06198723]",0.7864583333333334
