seed,C,x,acc
941851,0.03125,"[ 0.51790853  0.09460357 -0.09725329 -0.2758829   0.0465526   0.965444
  0.63017832 -0.99373149  0.99532953  0.98708789  0.228818    0.12045807]",0.75
936159,0.03125,"[-0.8475519  -0.50597974  0.53566176 -0.87601412  0.91956224 -0.86549802
  0.36303748 -0.30583691 -0.98776884 -0.40591592  0.09173187 -0.05415927]",0.796875
118334,0.03125,"[ 0.92733863  0.62692691 -0.10468004 -0.07837939  0.99579407  0.50372934
  0.9950862  -0.98126967  0.35174589  0.92216911  0.07812741  0.01050038]",0.75
108183,0.03125,"[-0.76677367 -0.9761043  -0.95646134 -0.99884307 -0.99830664  0.89021918
  0.43944648  0.92695903 -0.35820184 -0.3610683   0.76573708  0.08261525]",0.7395833333333334
479829,0.03125,"[ 0.63919    -0.04775552  0.85483593  0.96258589  0.41668063 -0.5681778
 -0.81597354  0.97480313 -0.17537252 -0.43716916  0.01750853 -0.03170379]",0.7708333333333334
773980,0.03125,"[ 0.77903119  0.65557089 -0.16430466  0.17452699  0.73602819  0.91404989
  0.19014392  0.4118937   0.99593493  0.25153231  0.01614549  0.03253401]",0.78125
910215,0.03125,"[ 0.50482641  0.01978664  0.46148671 -0.4895202  -0.46211374  0.99411075
  0.37781389 -0.95680666  0.64287854  0.4115386   0.26246024  0.0205814 ]",0.7135416666666666
895438,0.03125,"[ 0.42117584  0.35470283 -0.76547287  0.07380593 -0.20398838  0.84089566
  0.06975622  0.79181187  0.53772477 -0.43741853  0.14588748  0.06313665]",0.8125
228808,0.03125,"[ 0.38866376 -0.64410128  0.28889333 -0.99305221 -0.23113542  0.68282726
 -0.69566583  0.44829285  0.07471645  0.9391704  -0.24032105  0.11759553]",0.8072916666666666
119632,0.03125,"[-0.77700028  0.56358873  0.4661806   0.30677191  0.55039207 -0.88555961
 -0.03392681  0.42063113 -0.1440489  -0.38046515 -0.32938832 -0.02008251]",0.8020833333333334
745699,0.03125,"[ 0.33485342  0.50705417 -0.54909594  0.1693146   0.37337213 -0.94721773
 -0.3073594  -0.98589115 -0.56541965 -0.20091525 -0.0912144  -0.07713219]",0.7552083333333334
680352,0.03125,"[ 0.9864435  -0.67726409 -0.37330775 -0.07035789 -0.13922147  0.93671138
  0.76155218  0.03416491  0.62123584  0.39428712  0.2862799   0.03392443]",0.7760416666666666
717830,0.03125,"[-0.10902561 -0.11259854  0.54438483 -0.25785882  0.9068686  -0.78359555
 -0.97047845 -0.605359   -0.51022976 -0.48826734  0.20020049 -0.07438568]",0.7708333333333334
988865,0.03125,"[-0.50224513  0.52502174  0.98182826 -0.99740169 -0.42455139 -0.93725749
 -0.67559292 -0.19796989 -0.9794767   0.2973632  -0.23022564 -0.0912245 ]",0.8072916666666666
842375,0.03125,"[-0.26270288  0.06186473  0.8790256   0.73660606 -0.35199849 -0.97637782
 -0.92915364 -0.25043774 -0.85267157 -0.27944404  0.07798752 -0.06201008]",0.7864583333333334
750994,0.03125,"[ 0.23363758 -0.44835309  0.17517409 -0.31547122 -0.96871115  0.90611805
 -0.90288737  0.94415827  0.46229534  0.99960338 -0.11408544  0.10033463]",0.7604166666666666
719354,0.03125,"[-0.82182011 -0.73999246  0.59921236 -0.77904444 -0.57234437 -0.87166759
 -0.96689511 -0.72036096  0.0960672  -0.7770307  -0.0321155  -0.07859339]",0.7864583333333334
329909,0.03125,"[ 0.63473739  0.05726807  0.7304459  -0.16772846 -0.62548201 -0.64991792
 -0.54452327 -0.3400039  -0.61771374 -0.54843429 -0.04861584 -0.07465314]",0.7916666666666666
599749,0.03125,"[-0.92498946  0.97801623  0.23142239 -0.9991683   0.48843627 -0.96408911
 -0.87956251 -0.14137724 -0.39175241 -0.80880036 -0.14367886 -0.02655392]",0.765625
328876,0.03125,"[ 0.31339106 -0.85797881  0.37927238 -0.0518524   0.33415465  0.34528944
  0.99386799 -0.59245449  0.48843687  0.13869013  0.09376884  0.00959497]",0.7708333333333334
161269,0.03125,"[-0.42066513  0.98681914 -0.99989396  0.09092413 -0.98563178  0.98083016
  0.99947962  0.29110272  0.55840479 -0.13831231  0.03726373  0.07572558]",0.7135416666666666
422522,0.03125,"[ 0.08954839  0.24682393 -0.20272791  0.13892531  0.05517742  0.99747104
 -0.10261054  0.08578582  0.11955591  0.04168065  0.00579396  0.01230693]",0.765625
858762,0.03125,"[-0.89192076 -0.03868406 -0.37253986  0.84537724 -0.88148497  0.99969434
 -0.00262764 -0.01372925  0.99803795  0.39470267 -0.07806706  0.12335315]",0.78125
195498,0.03125,"[ 0.72409072 -0.39059065  0.05460088  0.95998485 -0.60120767  0.82303123
  0.82793664  0.5124805   0.89073181  0.8399094  -0.14384311  0.03851596]",0.75
167992,0.03125,"[ 0.12978151 -0.89593882  0.84606625 -0.72857819 -0.98636992  0.81661526
 -0.08999543  0.80212785  0.10609703 -0.04475967 -0.03741603  0.06624807]",0.796875
452798,0.03125,"[ 0.95157957  0.85032258  0.07187433 -0.3550839  -0.59449228  0.96897506
  0.96330913  0.83390227  0.13749979  0.971521   -0.08161299  0.03787026]",0.75
928982,0.03125,"[-0.13995162 -0.90575179  0.52698574  0.2888568  -0.66111278 -0.8886091
  0.06695219 -0.78650398 -0.43456552 -0.2270055  -0.40838017 -0.01250197]",0.7552083333333334
930767,0.03125,"[ 0.33087687  0.79381898 -0.77028542 -0.97198391 -0.14285772  0.99335857
 -0.47608635  0.84263796  0.93527604 -0.42280517  0.07971018  0.03565375]",0.8020833333333334
281191,0.03125,"[-0.93543577  0.10280768  0.84165242  0.4016639  -0.7517393  -0.99944218
 -0.95368247 -0.22719451 -0.85721491 -0.15874267 -0.17968542 -0.08196818]",0.765625
837153,0.03125,"[ 0.84670142 -0.14026531 -0.53030514 -0.98925239  0.32799693  0.80093779
  0.86679741  0.92039195  0.52307867 -0.98984132  0.50800486  0.00787691]",0.7864583333333334
941851,0.125,"[-0.74874413  0.88579478  0.97444655  0.98065555  0.5936751  -0.95768342
 -0.96817916  0.95292908 -0.79716489 -0.93864393 -0.65992475 -0.75434554]",0.7447916666666666
936159,0.125,"[ 0.2016107   0.06964835  0.54212656  0.55276684  0.97237098 -0.95444728
  0.65215386  0.82431417 -0.59904004 -0.93537378 -0.89699858 -0.32101942]",0.7916666666666666
118334,0.125,"[-0.27214155 -0.95281567 -0.5567929  -0.95675245 -0.74443577  0.9919162
  0.99406532  0.45847759  0.38714464 -0.99291339  0.46583183  0.67269006]",0.7447916666666666
108183,0.125,"[-0.65704259  0.77925905  0.44245446  0.97874351 -0.80874379 -0.6829699
  0.38687022  0.68680192 -0.96119839 -0.78112354 -0.10612556 -0.20028639]",0.7395833333333334
479829,0.125,"[ 0.40204184 -0.79630595 -0.5035944   0.05869577  0.04117859 -0.83214005
 -0.82657104 -0.79590767 -0.99450116 -0.84637753 -0.18788001 -0.12115469]",0.765625
773980,0.125,"[-0.7063446  -0.66802557  0.68629958  0.46962774  0.33866393  0.9593637
  0.97949316  0.58384935 -0.21186329 -0.05742466  0.77694394  0.14830382]",0.7708333333333334
910215,0.125,"[ 0.56636402  0.79682849 -0.06561431  0.03568611 -0.5956567  -0.99939647
 -0.79362366 -0.99842019 -0.98982077 -0.91684115 -0.7715543  -0.35018974]",0.71875
895438,0.125,"[ 0.94304445  0.45330857 -0.93006303 -0.21674297  0.98671283  0.45158166
  0.10691312  0.13327554 -0.42080417  0.65522313  0.79834321  0.18356288]",0.8177083333333334
228808,0.125,"[-0.66286083 -0.5582359   0.19306168 -0.53191722  0.18898337 -0.97963341
  0.75842956 -0.82808406 -0.95789842 -0.90215674 -0.41905913 -0.25843481]",0.8072916666666666
119632,0.125,"[-0.26238768  0.75973459  0.38845413 -0.68387844 -0.83716169 -0.89066747
  0.8080848  -0.33277386 -0.85224098 -0.84864792 -0.69698264 -0.09211835]",0.8020833333333334
745699,0.125,"[ 0.13010393  0.9972911  -0.33202308 -0.96754794 -0.18284543 -0.98440641
 -0.81682646 -0.76344896  0.11319228 -0.5132646  -0.99973625 -0.07466412]",0.765625
680352,0.125,"[ 0.93096064 -0.23036214  0.01281699  0.31986504  0.99985023 -0.93306126
 -0.98513544 -0.03314844 -0.01767991 -0.2058123  -0.51919696 -0.08442422]",0.7864583333333334
717830,0.125,"[ 0.50904807 -0.63568154  0.36037979  0.48926492  0.19884122 -0.61372918
 -0.91245372 -0.93449938  0.23601991 -0.60687367 -0.46462308 -0.11564349]",0.7604166666666666
