dataset;seed;C;n_coefs;F;X_valid_bas;X_valid_itr;X_valid_nsv;X_test_bas;X_test_itr;X_test_nsv
pima;11787;128.0;3;0.7466882056558694;0.7499248777078965;102.75;0.43974582665283407;0.739074074074074;141.0;0.4495114006514658
pima;14688;128.0;3;0.7302116900061645;0.7336023759608665;106.25;0.4614425162689805;0.769074074074074;138.0;0.4495114006514658
pima;17620;128.0;3;0.7409061652556953;0.7443614605171208;116.25;0.4658044892954824;0.7277777777777779;154.0;0.46579804560260585
pima;18967;128.0;3;0.7347973451387784;0.7426790705800139;913.5;0.7023448552296521;0.6435185185185186;564.0;0.30293159609120524
pima;19338;128.0;3;0.748248976776882;0.751575821104123;104.25;0.45275393756484017;0.7668518518518519;132.0;0.42996742671009774
pima;20468;128.0;3;0.75785120237885;0.7608350803633823;93.5;0.4060808261812694;0.6435185185185186;115.0;0.3745928338762215
pima;25725;128.0;3;0.7399510146021914;0.743054682040531;97.25;0.42238517400735637;0.6792592592592592;127.0;0.41368078175895767
pima;27595;128.0;3;0.736824117858172;0.7401432564640112;106.0;0.4505988871074224;0.6735185185185186;146.0;0.4592833876221498
pima;29973;128.0;3;0.7444342280261154;0.7478179594689028;108.25;0.45926388757898706;0.7562962962962962;140.0;0.44625407166123776
pima;36568;128.0;3;0.747812144958525;0.7509040880503145;98.0;0.42016882014524193;0.6564814814814814;131.0;0.4234527687296417
pima;38016;128.0;3;0.7152266715240756;0.724191998602376;746.5;0.961455484296897;0.7648148148148148;971.0;0.9462540716612378
pima;40883;128.0;3;0.7578729082254936;0.761259608665269;206.75;0.40499740639441667;0.6735185185185186;354.0;0.3957654723127036
pima;47026;128.0;3;0.7215422713243246;0.7249170160726764;105.75;0.45927331887201733;0.7027777777777777;130.0;0.4234527687296417
pima;49630;128.0;3;0.7316497579821841;0.7349606918238993;103.75;0.45058945581439214;0.739074074074074;137.0;0.44625407166123776
pima;5076;128.0;3;0.7398593654982238;0.7431988120195667;105.75;0.45385504102612473;0.6962962962962963;140.0;0.4527687296416938
pima;59351;128.0;3;0.7483782294961329;0.7517610062893082;106.0;0.4603673488635292;0.7325925925925927;141.0;0.4592833876221498
pima;63475;128.0;3;0.7518090528734347;0.7547929769392033;93.5;0.4060878996510422;0.7018518518518518;121.0;0.3941368078175896
pima;6358;128.0;3;0.7277643220503365;0.7362211740041928;788.75;0.8599323304725078;0.7583333333333333;1036.0;0.8501628664495114
pima;64176;128.0;3;0.7323132300831915;0.7414526554856744;756.5;0.982624021503348;0.7077777777777778;985.0;0.9723127035830619
pima;65029;128.0;3;0.7425536091934066;0.7457529699510832;100.25;0.43540743185890785;0.7433333333333333;136.0;0.44299674267100975
pima;69261;128.0;3;0.7356568082398088;0.7390679594689029;108.0;0.4636117136659436;0.7640740740740741;136.0;0.44299674267100975
pima;82324;128.0;3;0.7501539408642373;0.7534250524109014;102.5;0.4451711779684995;0.6807407407407408;138.0;0.44625407166123776
pima;85684;128.0;3;0.7296239569736236;0.7329909154437456;105.5;0.45821701405262666;0.7525925925925926;138.0;0.4495114006514658
pima;87824;128.0;3;0.7464954555949227;0.7497187281621244;101.0;0.43866122795435253;0.7255555555555555;127.0;0.41368078175895767
pima;88899;128.0;3;0.7390628008706632;0.742185534591195;104.5;0.42128407054607186;0.6742592592592592;137.0;0.42671009771986973
pima;90168;128.0;3;0.7384236183401253;0.7417505241090148;104.25;0.4527633688578704;0.732037037037037;135.0;0.43973941368078173
pima;92001;128.0;3;0.7218938814515394;0.7253494060097834;108.5;0.47014524191266627;0.8003703703703704;149.0;0.4820846905537459
pima;95474;128.0;3;0.7284576086240185;0.7317845911949685;104.25;0.45277515797415824;0.7027777777777777;136.0;0.44299674267100975
pima;98218;128.0;3;0.7324464735172066;0.7407966457023061;716.25;0.8838347637461095;0.7505555555555556;942.0;0.8778501628664495
pima;98293;128.0;3;0.7542331049189283;0.757280747728861;95.5;0.41475761576912196;0.6842592592592592;126.0;0.41042345276872966
pima;11787;2048.0;3;0.7482354549851777;0.7515863032844166;105.0;0.45602188059983023;0.7633333333333333;137.0;0.44625407166123776
pima;14688;2048.0;3;0.7297979382962267;0.7331009783368274;103.5;0.44951664623219845;0.717037037037037;137.0;0.44625407166123776
pima;17620;2048.0;3;0.7437246590911695;0.7470003494060098;115.5;0.4386517966613223;0.6962962962962963;127.0;0.3941368078175896
pima;18967;2048.0;3;0.740296304658597;0.7435124039133473;101.0;0.43756012449306797;0.7348148148148148;141.0;0.4495114006514658
pima;19338;2048.0;3;0.7411470356108888;0.7444898672257163;104.75;0.45493020843157594;0.7048148148148148;139.0;0.4527687296416938
pima;20468;2048.0;3;0.7563102001860337;0.7593588399720475;95.75;0.41477176270866734;0.6805555555555556;126.0;0.41042345276872966
pima;25725;2048.0;3;0.7440164353159218;0.7472396925227114;101.0;0.438658870131095;0.7127777777777777;132.0;0.42996742671009774
pima;27595;2048.0;3;0.7337020602982043;0.7368614605171209;99.0;0.42996793360369706;0.7133333333333334;132.0;0.42671009771986973
pima;29973;2048.0;3;0.7325459029336925;0.7358088749126485;102.25;0.44406064321418465;0.7440740740740741;140.0;0.4560260586319218
pima;36568;2048.0;3;0.7551574657906056;0.7581420335429769;93.75;0.4060478166556635;0.6442592592592593;117.0;0.3811074918566775
pima;38016;2048.0;3;0.7141382897761411;0.7173296645702305;100.0;0.4343204753371687;0.7198148148148149;131.0;0.42671009771986973
pima;40883;2048.0;3;0.749287679960503;0.752479035639413;143.0;0.410428652268226;0.7240740740740741;155.0;0.40553745928338764
pima;47026;2048.0;3;0.7247725587499486;0.728296645702306;125.5;0.47122512496463265;0.7255555555555555;161.0;0.4495114006514658
pima;49630;2048.0;3;0.7382826184070607;0.7415426275331936;107.25;0.4408280675280581;0.7340740740740741;138.0;0.43973941368078173
pima;5076;2048.0;3;0.7483182602986023;0.7515015723270441;99.75;0.43322172969914174;0.7205555555555556;134.0;0.4364820846905538
pima;59351;2048.0;3;0.7374112790848816;0.7407940251572327;106.0;0.46036263321701404;0.7248148148148148;138.0;0.4495114006514658
pima;63475;2048.0;3;0.7501782102984516;0.7534014675052412;101.0;0.43865887013109495;0.6827777777777778;134.0;0.4364820846905538
pima;6358;2048.0;3;0.7296175095877003;0.7330241090146751;115.5;0.45874634537395076;0.7348148148148148;144.0;0.4527687296416938
pima;64176;2048.0;3;0.7308282735180541;0.7393640810621942;739.25;0.899552013581062;0.712037037037037;974.0;0.8990228013029316
pima;65029;2048.0;3;0.7329039672916601;0.7361670160726765;102.25;0.44407243233047256;0.7105555555555556;140.0;0.4560260586319218
pima;69261;2048.0;3;0.7349627733494632;0.7420772187281621;702.5;0.7017895878524946;0.7148148148148148;771.0;0.3469055374592834
pima;82324;2048.0;3;0.7545207635834168;0.7577279874213837;100.5;0.4364755257945864;0.722037037037037;134.0;0.4364820846905538
pima;85684;2048.0;3;0.7186943940823655;0.7220134521313767;104.0;0.4516976327454494;0.7483333333333333;133.0;0.43322475570032576
pima;87824;2048.0;3;0.7410327604814267;0.7443614605171209;104.75;0.45276101103461286;0.7198148148148149;132.0;0.42996742671009774
pima;88899;2048.0;3;0.736419312221035;0.7395466457023061;98.0;0.42560124493067997;0.6877777777777778;131.0;0.42671009771986973
pima;90168;2048.0;3;0.7441374608972828;0.7473366526904263;100.25;0.4353814958030746;0.6992592592592592;129.0;0.4201954397394137
pima;92001;2048.0;3;0.7310443877823208;0.7344671558350804;107.25;0.46581156276525515;0.7903703703703704;148.0;0.4820846905537459
pima;95474;2048.0;3;0.7319060262332855;0.7351851851851852;102.75;0.4462675657832689;0.749074074074074;142.0;0.4592833876221498
pima;98218;2048.0;3;0.7345409672319386;0.7378389238294899;106.0;0.4473474488352353;0.7412962962962963;152.0;0.4495114006514658
pima;98293;2048.0;3;0.7496681646987999;0.7527716631726065;97.25;0.42235923795152314;0.6722222222222223;131.0;0.42671009771986973
pima;11787;32.0;3;0.7505078284049382;0.7538906359189378;106.0;0.4603720645100443;0.7633333333333333;142.0;0.46254071661237783
pima;14688;32.0;3;0.7231382204277448;0.7266247379454926;109.25;0.4744859945298501;0.732037037037037;145.0;0.4723127035830619
pima;17620;32.0;3;0.7458134757588677;0.7491221174004192;107.0;0.4484320475337169;0.6835185185185185;151.0;0.4592833876221498
pima;18967;32.0;3;0.7331991398022811;0.7365705800139762;108.75;0.4570994058285391;0.6892592592592592;140.0;0.4495114006514658
pima;19338;32.0;3;0.7354231335531215;0.7385665618448638;98.5;0.42779402056021876;0.7240740740740741;125.0;0.40716612377850164
pima;20468;32.0;3;0.7554117421491391;0.7584355345911951;94.75;0.41151325096670754;0.6605555555555556;122.0;0.3973941368078176
pima;25725;32.0;3;0.7453852672965277;0.7486643955276031;102.75;0.44626285013675376;0.6807407407407408;140.0;0.4560260586319218
pima;27595;32.0;3;0.7372993244851314;0.7405704053109713;102.5;0.4451664623219843;0.7105555555555556;138.0;0.4495114006514658
pima;29973;32.0;3;0.7349629839540234;0.7382756813417191;104.25;0.45058238234461945;0.7105555555555556;128.0;0.4169381107491857
pima;36568;32.0;3;0.7510556352328898;0.7541989867225716;98.5;0.427782231443931;0.6507407407407407;128.0;0.4169381107491857
pima;38016;32.0;3;0.7214246375943317;0.7250148497554157;112.5;0.4885975667263982;0.7127777777777777;151.0;0.49185667752442996
pima;40883;32.0;3;0.7465000890251272;0.7496523410202656;141.0;0.40553734792039986;0.7325925925925927;163.0;0.3990228013029316
pima;47026;32.0;3;0.7283174971260266;0.7319156184486373;112.75;0.48967273413184953;0.7212962962962963;143.0;0.46254071661237783
pima;49630;32.0;3;0.7378912303952777;0.7413059049615653;107.0;0.464708101480713;0.7355555555555555;141.0;0.4592833876221498
pima;5076;32.0;3;0.7444926560534428;0.7477078965758212;100.75;0.4375671979628407;0.7198148148148149;131.0;0.42671009771986973
pima;59351;32.0;3;0.7379294471204438;0.7413600628930817;107.5;0.46687729887767615;0.7468518518518519;135.0;0.43973941368078173
pima;63475;32.0;3;0.7442198051318718;0.7526738294898672;807.5;0.849081627841177;0.6605555555555556;1106.0;0.8436482084690554
pima;6358;32.0;3;0.7320640509891265;0.735295248078267;101.25;0.43973875318306144;0.7283333333333333;135.0;0.43973941368078173
pima;64176;32.0;3;0.739642125757456;0.7430241090146751;107.75;0.45927331887201733;0.7375925925925926;141.0;0.4527687296416938
pima;65029;32.0;3;0.7435713572023644;0.7470029699510832;107.75;0.4668914458172216;0.7540740740740741;140.0;0.4527687296416938
pima;69261;32.0;3;0.7348480439140769;0.7433272187281621;769.5;0.8740533339620863;0.712037037037037;1053.0;0.8729641693811075
pima;82324;32.0;3;0.748840531892141;0.7520877009084557;101.75;0.4419126662265397;0.702037037037037;134.0;0.4364820846905538
pima;85684;32.0;3;0.7221786736602566;0.7255136268343816;104.5;0.45385975667263984;0.7183333333333333;138.0;0.4495114006514658
pima;87824;32.0;3;0.7445913375182228;0.7479262753319358;104.5;0.45385739884938225;0.722037037037037;137.0;0.44625407166123776
pima;88899;32.0;3;0.741793429477607;0.7452847658979735;254.25;0.39467014052626614;0.6727777777777778;388.0;0.38599348534201955
