dataset;seed;C;n_coefs;F;X_valid_bas;X_valid_itr;X_valid_nsv;X_test_bas;X_test_itr;X_test_nsv
pima;75916;0.03125;3;0.7163306380405801;0.7227242524916944;371.8;0.5785802990412796;0.7285185185185186;441.0;0.5716612377850163
pima;78578;0.03125;3;0.7342971157010281;0.7402713178294574;317.2;0.557409799148908;0.7027777777777777;382.0;0.5537459283387622
pima;79959;0.03125;3;0.734751572632608;0.7405550941306756;256.0;0.5704502177404667;0.6487037037037037;282.0;0.5456026058631922
pima;80300;0.03125;3;0.7404684099762323;0.7464479512735327;165.2;0.6425098935307072;0.6201851851851852;204.0;0.6188925081433225
pima;80573;0.03125;3;0.7227850566153314;0.7287361572535992;361.2;0.5301284917126158;0.7783333333333333;325.0;0.5228013029315961
pima;82876;0.03125;3;0.7208467344851239;0.7269421373200442;212.8;0.6302932459059825;0.7512962962962964;249.0;0.6091205211726385
pima;85035;0.03125;3;0.7366622523189953;0.7425789036544851;220.2;0.6042314506648122;0.7042592592592593;270.0;0.5879478827361564
pima;87498;0.03125;3;0.7376079745420002;0.7440586932447397;281.8;0.6355927011408606;0.6799999999999999;361.0;0.6221498371335505
pima;87605;0.03125;3;0.7199947989727064;0.7260963455149502;250.8;0.6099365820542115;0.727037037037037;277.0;0.5928338762214984
pima;89597;0.03125;3;0.722503001018545;0.7276176633444076;142.6;0.5488583113937046;0.7361111111111112;174.0;0.5407166123778502
pima;91937;0.03125;3;0.7373455983241459;0.7428460686600221;246.2;0.5386799794678191;0.6927777777777777;287.0;0.511400651465798
pima;95531;0.03125;3;0.7406842079406032;0.7461364894795128;149.8;0.5863179507558823;0.6614814814814814;187.0;0.5765472312703583
pima;95674;0.03125;3;0.7363508324962914;0.7419629014396455;284.8;0.5309398440216582;0.662962962962963;348.0;0.5244299674267101
pima;96728;0.03125;3;0.7292091166786357;0.7345556478405315;148.4;0.5741095822363518;0.702037037037037;176.0;0.5570032573289903
pima;98297;0.03125;3;0.7434041182084021;0.7485562015503876;145.0;0.5521202788402629;0.6585185185185185;167.0;0.5309446254071661
pima;10070;0.03125;4;0.7323278664427623;0.7382129014396456;235.2;0.5920156309506068;0.6764814814814815;312.0;0.5798045602605864
pima;13150;0.03125;4;0.7066035862987413;0.7128225359911406;204.2;0.6502425777821933;0.722037037037037;239.0;0.6335504885993485
pima;13652;0.03125;4;0.734371573481459;0.7404277408637874;290.6;0.5822529101054759;0.6992592592592592;300.0;0.5635179153094463
pima;15431;0.03125;4;0.7330823021206699;0.7389950166112956;192.2;0.6193035616710546;0.7312962962962963;222.0;0.5977198697068404
pima;1718;0.03125;4;0.7281501723326652;0.7346110188261351;372.0;0.5867252827314424;0.7512962962962964;463.0;0.5830618892508144
pima;17892;0.03125;4;0.7280440113010315;0.7334980620155038;150.2;0.5863129832927657;0.6672222222222222;179.0;0.5667752442996743
pima;18176;0.03125;4;0.7342160345981401;0.7399944629014397;275.4;0.5565909956451908;0.6737037037037037;394.0;0.5521172638436482
pima;19593;0.03125;4;0.7323316830280993;0.7383873200442967;210.6;0.6266322255890584;0.6907407407407408;253.0;0.6140065146579805
pima;19822;0.03125;4;0.7026346842133845;0.7084856035437431;210.8;0.6013817826569305;0.8174074074074074;255.0;0.5830618892508144
pima;23128;0.03125;4;0.7378953811344281;0.7435534330011074;213.6;0.5761421025615552;0.6522222222222223;261.0;0.5602605863192183
pima;28922;0.03125;4;0.7266188079642313;0.7325235326688816;387.6;0.5097668603977282;0.7127777777777777;438.0;0.511400651465798
pima;29155;0.03125;4;0.7469252957685162;0.7528931339977851;193.4;0.6254060901097809;0.6564814814814814;239.0;0.5928338762214984
pima;32325;0.03125;4;0.7285766104689275;0.7343521594684386;309.2;0.5374596393621778;0.717037037037037;339.0;0.5309446254071661
pima;3325;0.03125;4;0.7521460398706352;0.7574723145071982;149.8;0.5708443031477157;0.6264814814814815;180.0;0.5504885993485342
pima;34488;0.03125;4;0.7368891712363422;0.744547342192691;504.0;0.660423393439637;0.6785185185185185;617.0;0.6596091205211726
