seed;C;accuracy
5787;32.0;0.7727272727272727
5787;128.0;0.7727272727272727
5787;512.0;0.7727272727272727
5787;2048.0;0.7727272727272727
15435;0.03125;0.7532467532467533
15435;0.125;0.7662337662337663
15435;0.5;0.7597402597402597
15435;2.0;0.7597402597402597
15435;8.0;0.7597402597402597
15435;32.0;0.7597402597402597
15435;128.0;0.7597402597402597
15435;512.0;0.7597402597402597
15435;2048.0;0.7597402597402597
6486;0.03125;0.7597402597402597
6486;0.125;0.7727272727272727
6486;0.5;0.7792207792207793
6486;2.0;0.7792207792207793
6486;8.0;0.7792207792207793
6486;32.0;0.7792207792207793
6486;128.0;0.7792207792207793
6486;512.0;0.7792207792207793
6486;2048.0;0.7792207792207793
42699;0.03125;0.7597402597402597
42699;0.125;0.7662337662337663
42699;0.5;0.7597402597402597
42699;2.0;0.7597402597402597
42699;8.0;0.7597402597402597
42699;32.0;0.7597402597402597
42699;128.0;0.7597402597402597
42699;512.0;0.7597402597402597
42699;2048.0;0.7597402597402597
39096;0.03125;0.8246753246753247
39096;0.125;0.8116883116883117
39096;0.5;0.8181818181818182
39096;2.0;0.8181818181818182
39096;8.0;0.8181818181818182
39096;32.0;0.8181818181818182
39096;128.0;0.8181818181818182
39096;512.0;0.8116883116883117
39096;2048.0;0.8116883116883117
32641;0.03125;0.8311688311688312
32641;0.125;0.8311688311688312
32641;0.5;0.8311688311688312
32641;2.0;0.8311688311688312
32641;8.0;0.8311688311688312
32641;32.0;0.8311688311688312
32641;128.0;0.8376623376623377
32641;512.0;0.8376623376623377
32641;2048.0;0.8376623376623377
95485;0.03125;0.7792207792207793
95485;0.125;0.7727272727272727
95485;0.5;0.7727272727272727
95485;2.0;0.7727272727272727
95485;8.0;0.7792207792207793
95485;32.0;0.7792207792207793
95485;128.0;0.7792207792207793
95485;512.0;0.7792207792207793
95485;2048.0;0.7792207792207793
54408;0.03125;0.8246753246753247
54408;0.125;0.8181818181818182
54408;0.5;0.8246753246753247
54408;2.0;0.8311688311688312
54408;8.0;0.8311688311688312
54408;32.0;0.8311688311688312
54408;128.0;0.8311688311688312
54408;512.0;0.8311688311688312
54408;2048.0;0.8311688311688312
17871;0.03125;0.8506493506493507
17871;0.125;0.8441558441558441
17871;0.5;0.8506493506493507
17871;2.0;0.8506493506493507
17871;8.0;0.8506493506493507
17871;32.0;0.8506493506493507
17871;128.0;0.8506493506493507
17871;512.0;0.8506493506493507
17871;2048.0;0.8506493506493507
37665;0.03125;0.7792207792207793
37665;0.125;0.7597402597402597
37665;0.5;0.7532467532467533
37665;2.0;0.7532467532467533
37665;8.0;0.7532467532467533
37665;32.0;0.7532467532467533
37665;128.0;0.7532467532467533
37665;512.0;0.7532467532467533
37665;2048.0;0.7532467532467533
90716;0.03125;0.7337662337662337
90716;0.125;0.7077922077922078
90716;0.5;0.7077922077922078
90716;2.0;0.6948051948051948
90716;8.0;0.7077922077922078
90716;32.0;0.7077922077922078
90716;128.0;0.7077922077922078
90716;512.0;0.7077922077922078
90716;2048.0;0.7077922077922078
91391;0.03125;0.7467532467532467
91391;0.125;0.7207792207792207
91391;0.5;0.7207792207792207
91391;2.0;0.7207792207792207
91391;8.0;0.7207792207792207
91391;32.0;0.7207792207792207
91391;128.0;0.7207792207792207
91391;512.0;0.7207792207792207
91391;2048.0;0.7207792207792207
20440;0.03125;0.7337662337662337
20440;0.125;0.7337662337662337
20440;0.5;0.7402597402597403
20440;2.0;0.7402597402597403
20440;8.0;0.7402597402597403
20440;32.0;0.7402597402597403
20440;128.0;0.7402597402597403
20440;512.0;0.7402597402597403
20440;2048.0;0.7402597402597403
78357;0.03125;0.7727272727272727
78357;0.125;0.7857142857142857
78357;0.5;0.7792207792207793
78357;2.0;0.7727272727272727
78357;8.0;0.7727272727272727
78357;32.0;0.7727272727272727
78357;128.0;0.7727272727272727
78357;512.0;0.7727272727272727
78357;2048.0;0.7727272727272727
62574;0.03125;0.7337662337662337
62574;0.125;0.7402597402597403
62574;0.5;0.7402597402597403
62574;2.0;0.7402597402597403
62574;8.0;0.7467532467532467
62574;32.0;0.7467532467532467
62574;128.0;0.7467532467532467
62574;512.0;0.7467532467532467
62574;2048.0;0.7402597402597403
43767;0.03125;0.7597402597402597
43767;0.125;0.7532467532467533
43767;0.5;0.7532467532467533
43767;2.0;0.7532467532467533
43767;8.0;0.7532467532467533
43767;32.0;0.7532467532467533
43767;128.0;0.7532467532467533
43767;512.0;0.7532467532467533
43767;2048.0;0.7532467532467533
30807;0.03125;0.7987012987012987
30807;0.125;0.7857142857142857
30807;0.5;0.7662337662337663
30807;2.0;0.7662337662337663
30807;8.0;0.7662337662337663
30807;32.0;0.7662337662337663
30807;128.0;0.7662337662337663
30807;512.0;0.7662337662337663
30807;2048.0;0.7662337662337663
43756;0.03125;0.7532467532467533
43756;0.125;0.7532467532467533
43756;0.5;0.7402597402597403
43756;2.0;0.7402597402597403
43756;8.0;0.7402597402597403
43756;32.0;0.7402597402597403
43756;128.0;0.7402597402597403
43756;512.0;0.7402597402597403
43756;2048.0;0.7402597402597403
28655;0.03125;0.7662337662337663
28655;0.125;0.7597402597402597
28655;0.5;0.7792207792207793
28655;2.0;0.7792207792207793
28655;8.0;0.7662337662337663
28655;32.0;0.7662337662337663
28655;128.0;0.7662337662337663
28655;512.0;0.7662337662337663
28655;2048.0;0.7662337662337663
91222;0.03125;0.7922077922077922
91222;0.125;0.8051948051948052
91222;0.5;0.8051948051948052
91222;2.0;0.8051948051948052
91222;8.0;0.8051948051948052
91222;32.0;0.8051948051948052
91222;128.0;0.8051948051948052
91222;512.0;0.8051948051948052
91222;2048.0;0.8051948051948052
67141;0.03125;0.7662337662337663
67141;0.125;0.7597402597402597
67141;0.5;0.7337662337662337
67141;2.0;0.7337662337662337
67141;8.0;0.7337662337662337
67141;32.0;0.7337662337662337
67141;128.0;0.7337662337662337
67141;512.0;0.7337662337662337
67141;2048.0;0.7337662337662337
26353;0.03125;0.7792207792207793
26353;0.125;0.7857142857142857
26353;0.5;0.7792207792207793
26353;2.0;0.7792207792207793
26353;8.0;0.7857142857142857
26353;32.0;0.7857142857142857
26353;128.0;0.7857142857142857
26353;512.0;0.7857142857142857
26353;2048.0;0.7857142857142857
11838;0.03125;0.7532467532467533
11838;0.125;0.7597402597402597
11838;0.5;0.7532467532467533
11838;2.0;0.7597402597402597
11838;8.0;0.7597402597402597
11838;32.0;0.7597402597402597
11838;128.0;0.7597402597402597
11838;512.0;0.7597402597402597
11838;2048.0;0.7597402597402597
