dataset;seed;C;n_coefs;F;X_valid_bas;X_valid_itr;X_valid_nsv;X_test_bas;X_test_itr;X_test_nsv
pima;11787;128.0;3;0.7582257459531404;0.7614011180992313;99.5;0.43214184664717525;0.7625925925925926;128.0;0.4169381107491857
pima;14688;128.0;3;0.7477268118692412;0.7561844863731656;894.5;0.8013085919079506;0.8224074074074074;1247.0;0.7996742671009772
pima;17620;128.0;3;0.7581834759082599;0.7664779874213836;813.25;0.8214019617089503;0.7240740740740741;1106.0;0.8143322475570033
pima;18967;128.0;3;0.7483774671173394;0.7514570230607966;96.5;0.4191007262095633;0.7825925925925926;127.0;0.41368078175895767
pima;19338;128.0;3;0.7751575458069746;0.78360499650594;782.25;0.8621003489578422;0.7746296296296297;1041.0;0.8517915309446255
pima;20468;128.0;3;0.7738288070649739;0.7819330887491264;695.25;0.8577572385174007;0.739074074074074;936.0;0.8436482084690554
pima;25725;128.0;3;0.7474559249636664;0.7561207197763802;725.0;0.927268225973781;0.759074074074074;975.0;0.9039087947882736
pima;27595;128.0;3;0.7740063494780017;0.7823034591194968;738.75;0.8631896633028389;0.6955555555555556;990.0;0.8485342019543974
pima;29973;128.0;3;0.7720461401552922;0.7752611809923131;100.75;0.4375365462604923;0.7440740740740741;131.0;0.42671009771986973
pima;36568;128.0;3;0.7516124786063084;0.7549912648497554;133.25;0.4446159105913421;0.6842592592592592;171.0;0.44299674267100975
pima;38016;128.0;3;0.7453510965342325;0.7485202655485674;120.25;0.4196618881448646;0.749074074074074;147.0;0.41368078175895767
pima;40883;128.0;3;0.7590384493569975;0.7620955625436757;102.0;0.41260020748844667;0.7498148148148148;128.0;0.41042345276872966
pima;47026;128.0;3;0.7528723389204254;0.7559119496855347;95.25;0.4136635857776101;0.7162962962962962;127.0;0.41368078175895767
pima;49630;128.0;3;0.7524384810045128;0.7553904612159329;92.5;0.40174007356408564;0.7062962962962962;116.0;0.3778501628664495
pima;5076;128.0;3;0.7671221935349835;0.7701380153738644;94.5;0.410428652268226;0.7040740740740741;125.0;0.40716612377850164
pima;59351;128.0;3;0.7418851257872016;0.74534678546471;118.0;0.46580920494199757;0.7348148148148148;147.0;0.4527687296416938
pima;63475;128.0;3;0.7707256455863722;0.7737255415793152;94.0;0.40826181269452044;0.6955555555555556;124.0;0.40390879478827363
pima;6358;128.0;3;0.7486529806383448;0.757185534591195;752.0;0.8919692539847213;0.7683333333333333;978.0;0.8729641693811075
pima;64176;128.0;3;0.7574385917438529;0.7604463661774983;94.25;0.40933226445345655;0.6935185185185185;127.0;0.41368078175895767
pima;65029;128.0;3;0.7536321241296409;0.7569357092941998;152.5;0.4223781005375837;0.7298148148148148;193.0;0.4185667752442997
pima;69261;128.0;3;0.7408015593730858;0.7490216631726065;812.25;0.8105359332264452;0.8046296296296296;1076.0;0.7980456026058632
pima;82324;128.0;3;0.7557196830734324;0.7637928022361985;832.25;0.7768626803734793;0.7525925925925926;1141.0;0.7817589576547231
pima;85684;128.0;3;0.7580367496382523;0.7617278127183787;208.75;0.45060596057719515;0.7661111111111112;209.0;0.44299674267100975
pima;87824;128.0;3;0.7739475412251945;0.7772702655485675;116.75;0.4451770725266434;0.6785185185185185;150.0;0.44462540716612375
pima;88899;128.0;3;0.7614092470474848;0.7644435709294201;95.75;0.4125742714326134;0.712037037037037;132.0;0.42671009771986973
pima;90168;128.0;3;0.741368941974735;0.7496208944793851;782.0;0.8322302650193342;0.7648148148148148;1073.0;0.8306188925081434
pima;92001;128.0;3;0.7495280554383189;0.7580214884696017;749.0;0.8876308591907951;0.7768518518518519;970.0;0.8631921824104235
pima;95474;128.0;3;0.7429163019271873;0.7460438504542278;98.0;0.425634254456286;0.7198148148148149;127.0;0.41368078175895767
pima;98218;128.0;3;0.7531044960029589;0.7562080712788259;97.25;0.422371027067811;0.717037037037037;127.0;0.41368078175895767
pima;98293;128.0;3;0.7677422516139533;0.7708787561146052;100.5;0.42562010751674056;0.6907407407407408;140.0;0.42671009771986973
pima;11787;2048.0;3;0.7651592334203519;0.7681909503843466;95.0;0.4125907761954164;0.6877777777777778;122.0;0.3973941368078176
pima;14688;2048.0;3;0.7470865439149328;0.7555878756114606;781.5;0.8707877487503537;0.8231481481481482;1032.0;0.8664495114006515
pima;17620;2048.0;3;0.7581861116696408;0.7664779874213836;813.5;0.8208584834480808;0.7240740740740741;1095.0;0.8143322475570033
pima;18967;2048.0;3;0.7431054413322037;0.7460892732354997;93.5;0.40607375271149676;0.7568518518518519;129.0;0.4201954397394137
pima;19338;2048.0;3;0.7738562526121731;0.7823549965059399;782.75;0.8696960765820994;0.7746296296296297;1054.0;0.8583061889250815
pima;20468;2048.0;3;0.7690887652163289;0.777259783368274;700.0;0.8653623974346882;0.7340740740740741;930.0;0.8436482084690554
pima;25725;2048.0;3;0.7474046952870134;0.7559355345911949;719.25;0.9099004998585307;0.7583333333333333;968.0;0.8908794788273615
pima;27595;2048.0;3;0.7728920845917124;0.781194968553459;744.25;0.8610204659058757;0.7005555555555556;991.0;0.8469055374592834
pima;29973;2048.0;3;0.759171746062446;0.7671977638015374;723.5;0.8300492785060831;0.7198148148148149;967.0;0.8306188925081434
pima;36568;2048.0;3;0.7501993658137854;0.7531752271139064;93.25;0.4049891540130152;0.6557407407407407;127.0;0.41368078175895767
pima;38016;2048.0;3;0.73818116061998;0.7464910901467505;712.0;0.8800186268037348;0.7975925925925926;947.0;0.8778501628664495
pima;40883;2048.0;3;0.761942029948136;0.7654751921733054;234.5;0.412062623785721;0.7598148148148148;320.0;0.41042345276872966
pima;47026;2048.0;3;0.7504895218886055;0.7536975890985325;100.75;0.43646609450155616;0.7405555555555556;127.0;0.41368078175895767
pima;49630;2048.0;3;0.7527836635380337;0.7558481830887491;96.25;0.4169315288126002;0.7525925925925926;125.0;0.40716612377850164
pima;5076;2048.0;3;0.7595780751527155;0.7624423480083857;89.75;0.38980477223427334;0.7175925925925926;120.0;0.39087947882736157
