seed,C,x,acc
941851,0.03125,"[-0.8908773   0.8846093   0.97047475 -0.26137391 -0.7202376   0.68239726
 -0.84465215 -0.98829458 -0.86704003 -0.52540008 -0.65475787 -0.39555325
 -0.40230952 -0.07155179]",0.9545454545454546
936159,0.03125,"[ 0.89995778  0.59738195  0.58756239 -0.30047199  0.16157795  0.73784648
  0.97640258  0.54901443  0.74854341  0.635959    0.15242446  0.36530569
 -0.01814381  0.03354362]",0.9545454545454546
118334,0.03125,"[ 0.23653585  0.64602223  0.50326607  0.86700569 -0.08520601  0.79755193
 -0.75393822 -0.17785665 -0.67851193 -0.61964864  0.08823657 -0.56321587
 -0.33754203 -0.02577139]",0.9090909090909091
108183,0.03125,"[ 0.19312014  0.77915912  0.69761677 -0.9503052  -0.98758699  0.43349267
  0.93562884  0.95026197 -0.97449137  0.28356381  0.71919539  0.99356996
 -0.0944168   0.0379505 ]",0.9431818181818182
479829,0.03125,"[-0.29733804 -0.26872813  0.92267399 -0.68077296  0.98561409  0.85979519
 -0.54789164 -0.94276137 -0.12817726  0.33801716 -0.69060473 -0.41708576
 -0.2843334  -0.01993709]",0.9545454545454546
773980,0.03125,"[-0.92894     0.2168266   0.27030952  0.21157793  0.57703679  0.29595767
 -0.83103461  0.65645731 -0.46145597  0.64855132 -0.99731701 -0.97079037
  0.25773778 -0.02592634]",0.9204545454545454
910215,0.03125,"[ 0.42190291  0.12032409 -0.3462048   0.15417094  0.72048782  0.10454688
  0.67662942  0.92779768 -0.92390223  0.52176957  0.1827075   0.11552432
  0.07164276  0.01299989]",0.9431818181818182
895438,0.03125,"[ 0.97203646  0.29665756  0.40200475  0.17903239 -0.74181184 -0.46505916
  0.72888674  0.54708425  0.53775174  0.98461834 -0.62950366  0.32691046
  0.26823916  0.03290375]",0.9659090909090909
228808,0.03125,"[ 0.7774079  -0.59796744 -0.2951544  -0.95594927  0.99941784 -0.21338432
  0.98293438 -0.02670418  0.8094319   0.9469884  -0.62619371  0.78367114
  0.14031727  0.01600762]",0.9431818181818182
119632,0.03125,"[ 0.27158045 -0.00181646 -0.95995883  0.3801184  -0.71158864  0.56344563
 -0.96347875  0.23965987  0.82678621 -0.99854072 -0.72850853 -0.14828001
 -0.03470972 -0.01437448]",0.9772727272727273
745699,0.03125,"[ 0.26835815 -0.97962163 -0.71857226  0.88879292  0.40316643  0.34965389
  0.92207761 -0.82689958 -0.68401045 -0.49892001  0.31493922  0.15913231
  0.97974547  0.89781905]",0.5909090909090909
680352,0.03125,"[ 0.74679648  0.60351074  0.63247288  0.3298696  -0.72698632 -0.59587132
  0.88549808 -0.01711823  0.85004608 -0.28777477  0.71045057 -0.47442375
  0.73744027  0.03064287]",0.9318181818181818
717830,0.03125,"[ 0.59210472 -0.99882376 -0.03317849 -0.99469568  0.90937462 -0.99903792
  0.86919562 -0.34461466 -0.9857804   0.95852753  0.75823676  0.77644635
 -0.09380021  0.01246643]",0.9318181818181818
988865,0.03125,"[ 0.88604312 -0.59446013  0.88553156 -0.42505786  0.97338312  0.84958562
 -0.80627102 -0.933194    0.88444312  0.33772361 -0.76078596 -0.0522536
 -0.0780994  -0.01430804]",0.9659090909090909
842375,0.03125,"[-0.99372221  0.95414579  0.98362801  0.16500838 -0.9187819  -0.41659066
  0.6160665   0.19162441  0.17655661  0.09499198  0.99764846 -0.86064895
  0.5591372   0.01720191]",0.9318181818181818
750994,0.03125,"[ 0.05758254 -0.78665566 -0.24005668 -0.27298836 -0.35496089  0.98123153
 -0.9943144  -0.55481022  0.40891467 -0.24709741  0.9330579  -0.97165521
  0.13027744 -0.02655305]",0.9772727272727273
719354,0.03125,"[-0.94441278  0.56863457 -0.85918287  0.63294181 -0.03841739 -0.48388758
 -0.79711032 -0.99280332  0.24142197 -0.98798237 -0.97058156  0.43450593
 -0.42871946 -0.02470196]",0.9431818181818182
329909,0.03125,"[ 0.5210999  -0.47125873  0.00768822  0.96551834 -0.9652966   0.77248576
 -0.67168889  0.18254522 -0.99986281 -0.29782457  0.2730833  -0.28364491
 -0.84879078 -0.02683043]",0.9545454545454546
599749,0.03125,"[ 0.14123611  0.70611193  0.84200113  0.1469256   0.91185644  0.03267979
  0.78164884 -0.50661547  0.27686864 -0.65321929  0.86323247  0.4265731
  0.50202988  0.03792832]",0.9204545454545454
328876,0.03125,"[-0.03468445 -0.23220628 -0.38775873 -0.60768137 -0.99477479 -0.79650319
 -0.81278371 -0.29825911 -0.46404445 -0.19054723 -0.53906065  0.09117574
 -0.18510615 -0.0096108 ]",0.9204545454545454
161269,0.03125,"[ 0.47035431 -0.05852769 -0.24245116 -0.71482839  0.59567282  0.67491386
 -0.71614229  0.57882085 -0.43791872 -0.92360235 -0.94308308 -0.99738334
  0.02620673 -0.00709092]",0.9431818181818182
422522,0.03125,"[-0.69804864 -0.56659964  0.2418962   0.17136913 -0.8071593   0.72969821
  0.87633864  0.04564155  0.02101478  0.77719581 -0.37152236 -0.23695938
  0.57892495  0.01599279]",0.9545454545454546
858762,0.03125,"[-0.5108372   0.96040858  0.95122419  0.11440463 -0.01996278  0.37597863
  0.95032483  0.37697736  0.94372362  0.91604196  0.31495573  0.93368215
  0.15577172  0.03497947]",0.9886363636363636
195498,0.03125,"[-0.70153701 -0.98019307 -0.99700826 -0.71629504  0.45475145  0.35665104
 -0.33478167 -0.58112129 -0.95152098  0.39916998 -0.49087135 -0.97804145
  0.04402978 -0.01311396]",0.9431818181818182
167992,0.03125,"[ 0.50717613  0.98105816 -0.60378736  0.91861849 -0.94074067 -0.99095881
  0.74930145  0.75363383  0.99577948 -0.99882312  0.50448547  0.88690862
  0.06641486  0.02072796]",0.9318181818181818
452798,0.03125,"[-0.95320011 -0.19820261  0.73827044 -0.26840373  0.85474386 -0.37106705
  0.9719564  -0.55556657  0.56409378  0.32266321  0.84156517  0.98817871
  0.19983372  0.08028331]",0.9318181818181818
928982,0.03125,"[ 0.99959466 -0.85007278  0.72507842  0.75569404  0.77532134 -0.99715983
  0.97448037  0.90330537  0.2370018  -0.99400851  0.16315566  0.82526385
  0.15478283  0.02531912]",0.9545454545454546
930767,0.03125,"[-0.33359543 -0.4152881  -0.26021166  0.78415404 -0.84358403  0.23823444
  0.98716075 -0.91629011  0.40759213  0.79079331 -0.95834735  0.5070508
  0.60675393  0.03183374]",0.9659090909090909
281191,0.03125,"[-0.3826237   0.83931396 -0.84789933  0.61107466 -0.83673832  0.28549678
 -0.59687309 -0.12330941 -0.71429941 -0.8212136  -0.20621676 -0.97030322
 -0.27110983 -0.01036542]",0.9431818181818182
837153,0.03125,"[-0.94767908  0.98476392  0.6109735   0.22095951 -0.91922474 -0.17575404
 -0.66154861 -0.60855433 -0.99266689 -0.85414164 -0.99901999 -0.99157008
  0.08039724 -0.03156352]",0.9431818181818182
941851,0.125,"[-0.65555419 -0.98630585  0.67387893  0.54764495  0.32969514  0.61640718
 -0.77526624  0.48299725 -0.64240046 -0.62481299 -0.77085172 -0.4886401
 -0.63409968 -0.11503602]",0.9431818181818182
936159,0.125,"[ 0.27593961  0.47132907  0.36182029  0.47405716  0.94370839 -0.98118761
  0.9979814   0.05112414  0.93641487 -0.53178886 -0.74792866  0.77358325
  0.91667241  0.23279891]",0.9545454545454546
