seed,C,x,acc
941851,0.03125,"[-0.38516978 -0.77128702  0.21688317 -0.11660014  0.87892938 -0.44603478
  0.3467784   0.83520129  0.10663957  0.0395436 ]",0.965034965034965
936159,0.03125,"[ 0.47604939 -0.35653689 -0.64299734 -0.67643491  0.67677684  0.44047721
  0.99938199 -0.89818331  0.20719376  0.06452681]",0.986013986013986
118334,0.03125,"[-0.13000449 -0.44807765  0.4494616   0.81841249 -0.99047008 -0.34970133
 -0.53959658 -0.954438   -0.02276299 -0.10931206]",0.965034965034965
108183,0.03125,"[-0.55388901 -0.02330227  0.2615463   0.60600401 -0.35973698 -0.04702556
  0.33921483 -0.588595    0.08854108 -0.02692863]",0.986013986013986
479829,0.03125,"[ 0.58747969  0.01155316  0.05235327  0.93674998 -0.98167685 -0.93749305
 -0.05252086  0.31286396 -0.11448111 -0.05297008]",0.986013986013986
773980,0.03125,"[ 0.02538841 -0.24063222  0.39569535  0.07314607  0.83614358  0.99740472
  0.51877491  0.14251216  0.36483224  0.13247859]",0.972027972027972
910215,0.03125,"[-0.76010729 -0.70658039  0.93822957  0.96363137  0.76298974  0.12812476
  0.47350146 -0.10072662  0.13917861  0.03551626]",0.9790209790209791
895438,0.03125,"[-0.08953922  0.13890915  0.60161674  0.95034907 -0.98199153  0.61227026
 -0.82804555 -0.73588738  0.20176478 -0.06738776]",0.986013986013986
228808,0.03125,"[-0.36654005 -0.70547368  0.89641453 -0.999885    1.         -0.18073627
  0.08759013  0.30936284  0.24329523  0.02539919]",0.965034965034965
119632,0.03125,"[ 0.12419014  0.14153435  0.72976022  0.80083813 -0.83987579 -0.99830027
  0.35748136 -0.41216278 -0.88746866 -0.02552264]",0.993006993006993
745699,0.03125,"[-0.86183498  0.75518592 -0.55734058 -0.69922826 -0.77890764  0.43258746
 -0.9726176  -0.0936795  -0.05311183 -0.00885388]",0.972027972027972
680352,0.03125,"[ 0.64371049 -0.90586509 -0.49800268  0.02663522  0.43941597  0.24178561
 -0.63994392  0.30612215  0.2220845   0.05195934]",0.9790209790209791
717830,0.03125,"[ 0.78932027 -0.88122865  0.82206327 -0.6628673  -0.82028947 -0.36711133
 -0.98416777  0.16063328 -0.17643244 -0.04488145]",0.9790209790209791
988865,0.03125,"[-0.06594097 -0.92969574 -0.305604   -0.11825331  0.72057177 -0.55886408
 -0.29503975  0.99957291  0.43004123  0.01772885]",0.965034965034965
842375,0.03125,"[-0.58408544 -0.38682204  0.47104233 -0.53009836 -0.89971262 -0.67181668
 -0.37129763 -0.76076565  0.15178292 -0.02922671]",0.986013986013986
750994,0.03125,"[ 0.09369862  0.99992139  0.63364219  0.92628298 -0.99933496  0.94058803
 -0.99797963 -0.99949252 -0.93076733 -0.93029437]",0.965034965034965
719354,0.03125,"[-0.33254605 -0.74872491 -0.82598728 -0.4874233   0.7344697   0.7107608
  0.46811053 -0.74017366  0.22055269  0.00673004]",0.965034965034965
329909,0.03125,"[-0.40958173  0.9674696  -0.96170579 -0.57105217 -0.88272251 -0.57617925
 -0.84302024 -0.05752944 -0.24984804 -0.03475803]",0.986013986013986
599749,0.03125,"[-0.53715432 -0.84370375 -0.48367716  0.99729227  0.8777382   0.36303485
  0.16668336 -0.02469556  0.87698242  0.03367539]",0.9790209790209791
328876,0.03125,"[ 0.02705744  0.45071304  0.98450682 -0.34448797 -0.93816453  0.93886015
 -0.597845   -0.58377955 -0.56406466 -0.07861557]",0.9790209790209791
161269,0.03125,"[-0.08975656 -0.98597421 -0.23041758  0.24758515  0.72926028 -0.94607968
  0.1658089   0.1749383   0.57598822  0.09222183]",0.9790209790209791
422522,0.03125,"[-0.42097066  0.15015089  0.41631047  0.23438249  0.99175172 -0.16542045
  0.84427739  0.87031134 -0.09716606  0.075251  ]",0.9790209790209791
858762,0.03125,"[-0.99994897 -0.73618705 -0.73519347  0.98547106  0.99716785  0.9164
 -0.83919871 -0.18736074  0.6893979   0.01819394]",0.965034965034965
195498,0.03125,"[-0.77464049 -0.92743737 -0.99137767 -0.10937728  0.6631491   0.67189343
  0.29518819 -0.99854728  0.86511551  0.03192705]",0.958041958041958
167992,0.03125,"[ 0.19484981 -0.93737417  0.96515712  0.49645383 -0.9252779  -0.98373242
 -0.77148748 -0.99994814 -0.86861364 -0.23268406]",0.9790209790209791
452798,0.03125,"[-0.10801636 -0.96873124 -0.69991398 -0.3021594  -0.42985417  0.98796617
 -0.57239851 -0.92020852  0.19978178 -0.01847614]",0.9790209790209791
928982,0.03125,"[ 0.90376731  0.8465976   0.66112459 -0.99864749  0.61282643  0.11825211
  0.94867408  0.54267054  0.37427897  0.03834305]",0.965034965034965
930767,0.03125,"[ 0.93597792 -0.68705177  0.36378509  0.58865605  0.977121    0.93697136
  0.98970242 -0.41265388  0.21585376  0.00572278]",0.972027972027972
281191,0.03125,"[ 0.55370826  0.99994441  0.59179686  0.75163879 -0.72320438 -0.50937557
  0.63442841 -0.52334473  0.12700107 -0.0853994 ]",0.958041958041958
837153,0.03125,"[ 8.89795344e-01  4.56313376e-01  8.30113985e-01  7.75603600e-01
 -9.96753107e-01  6.07310003e-04 -9.89272501e-01  9.68534541e-01
 -6.32824119e-01 -5.28748408e-02]",0.951048951048951
941851,0.125,"[ 0.2937294   0.1318816   0.93369656  0.37163058 -0.70766285 -0.62982972
 -0.12980513  0.244096   -0.84727586 -0.12900878]",0.965034965034965
936159,0.125,"[ 0.98246408  0.95620736  0.90049866 -0.60058702 -0.98608134  0.98795632
 -0.1757392  -0.80915068 -0.69572218 -0.3632294 ]",0.986013986013986
118334,0.125,"[-0.77600156  0.04672971  0.37560158  0.66677181 -0.90883007 -0.54685099
 -0.8658362  -0.85498113 -0.91219264 -0.30951364]",0.965034965034965
108183,0.125,"[-0.05545321  0.5384353   0.68735985  0.16564928 -0.89113981 -0.52376926
 -0.67690403 -0.32613337 -0.31421563 -0.20069139]",0.993006993006993
479829,0.125,"[-0.69906659  0.24009077  0.10693694  0.21255769  0.93722892  0.91444358
  0.05287235  0.58675639  0.19124304  0.09551123]",1.0
773980,0.125,"[ 0.65917465 -0.99770271 -0.99462863 -0.74200821  0.80945846  0.64202938
  0.70294653  0.03082478  0.0563556   0.0624266 ]",0.9790209790209791
910215,0.125,"[ 0.47570453 -0.11035248 -0.37941897 -0.87007552 -0.92693166 -0.16446912
 -0.9149135   0.35970261 -0.82844565 -0.13187517]",0.972027972027972
895438,0.125,"[ 0.82895784  0.58358314  0.08498406  0.80604909 -0.98637575 -0.50815689
 -0.36007635 -0.70983401 -0.97208342 -0.19822053]",0.986013986013986
228808,0.125,"[ 0.47774095  0.97893426  0.75411719  0.66292761 -0.69355949 -0.0800357
  0.1049476  -0.50504458 -0.18858588 -0.15598697]",0.972027972027972
119632,0.125,"[-0.47541206 -0.55284668  0.35821399 -0.24360901  0.83745893  0.5920839
 -0.0811375   0.05958917  0.40706795  0.2471875 ]",0.993006993006993
745699,0.125,"[-0.41673775 -0.58771674  0.52710364  0.08001106  0.89138139  0.75666245
  0.03959484  0.51126738  0.08703437  0.13226983]",0.965034965034965
680352,0.125,"[ 0.0782183   0.58166826  0.88757409 -0.35564336 -0.81035089  0.98607444
 -0.60066219 -0.98897151 -0.7665725  -0.20790247]",0.9790209790209791
717830,0.125,"[-0.65830094  0.7518185   0.39575436  0.33608266 -0.99841966  0.21335506
 -0.88519153  0.14537243 -0.55119649 -0.15136505]",0.9790209790209791
988865,0.125,"[ 0.88049886  0.26325037  0.52001965 -0.14516276 -0.65437422 -0.94076177
  0.72477404 -0.68160521 -0.1568734  -0.09258218]",0.965034965034965
842375,0.125,"[ 0.29538088  0.10905016 -0.33598818  0.49237186  0.32972493 -0.07697956
 -0.35198731  0.75935139  0.0608078   0.02819377]",0.9790209790209791
750994,0.125,"[ 0.73317068  0.07124175 -0.40477781 -0.82539409  0.4583828  -0.63462625
  0.95165868  0.94903256 -0.47029807  0.13747434]",0.965034965034965
719354,0.125,"[ 0.33390029  0.20854086 -0.0426211   0.84423543 -0.90760459 -0.43433976
 -0.95361347  0.99483491 -0.52388113 -0.14798829]",0.965034965034965
329909,0.125,"[ 0.7107787  -0.18602375 -0.99898516 -0.63912297  0.95832137 -0.97278041
  0.36272341  0.59099513  0.86700585  0.06741061]",0.986013986013986
599749,0.125,"[-0.0720825  -0.98692989 -0.56504209 -0.0234814   0.61099805 -0.97757167
  0.9962685  -0.1387094   0.07939724  0.29702527]",0.986013986013986
328876,0.125,"[ 0.98196422 -0.13829482 -0.90877674  0.06241731  0.93654391 -0.95866293
  0.71194042  0.4004221   0.21119895  0.10548692]",0.986013986013986
161269,0.125,"[ 0.56423858  0.07002499 -0.3734999   0.02962795  0.45793189  0.31347344
  0.4726485   0.98186117 -0.06449144  0.32414912]",0.9790209790209791
422522,0.125,"[ 0.20548261  0.76799216 -0.87751924 -0.57091362  0.99437346  0.07859757
 -0.55938073  0.79544807  0.44098129  0.21520323]",0.972027972027972
858762,0.125,"[-0.58373031  0.9765915   0.51259376 -0.74662876  0.9991695   0.91065718
  0.30230286  0.95200734  0.68532122  0.07790061]",0.965034965034965
195498,0.125,"[-0.03552824 -0.87939334 -0.97249107  0.99527354  0.88630369  0.44749418
 -0.8175526   0.83623395  0.23595567  0.21949458]",0.965034965034965
167992,0.125,"[ 0.74899232  0.35094254 -0.58957557  0.77290707 -0.9504209   0.3931928
 -0.56500294 -0.09025    -0.85614849 -0.62929415]",0.9790209790209791
452798,0.125,"[ 0.4167927  -0.62849694 -0.90046025 -0.67223758  0.58565288 -0.11186811
  0.08444381  0.99909348 -0.23258053  0.10569464]",0.9790209790209791
928982,0.125,"[ 0.60368976  0.99065275 -0.64479593 -0.61181433 -0.15453903  0.60364017
 -0.97492312 -0.19817352 -0.20092423 -0.02818017]",0.972027972027972
930767,0.125,"[ 0.9635128   0.91399344  0.98479688 -0.42894331 -0.99861577  0.56867141
 -0.87261988 -0.69440524 -0.33283336 -0.19502614]",0.972027972027972
281191,0.125,"[ 0.31073884  0.8591136   0.99671346  0.48248021 -0.85455673 -0.52550911
  0.85775326 -0.53486168 -0.1008072  -0.40966299]",0.965034965034965
837153,0.125,"[ 0.5189038   0.17033375 -0.17755518  0.65582279 -0.92188149 -0.73222398
 -0.97718991  0.45122486 -0.66011683 -0.12023106]",0.972027972027972
941851,0.5,"[ 0.34017628 -0.29998921  0.82955482  0.99381173 -0.99872509  0.72331536
 -0.9139514  -0.99632406 -0.16438025 -0.87541553]",0.965034965034965
936159,0.5,"[ 0.38493612 -0.6074347   0.33571589  0.58588604 -0.34711476 -0.52397989
  0.74449238 -0.43190269  0.37476443 -0.36908279]",0.986013986013986
118334,0.5,"[ 0.96182246 -0.7958992   0.46625908  0.70385725 -0.86832352  0.09815408
  0.05234449 -0.48610973 -0.29036497 -0.67627374]",0.972027972027972
108183,0.5,"[ 0.99099309  0.8470853   0.99356193  0.94696359 -0.9107783  -0.98481087
 -0.57708346  0.99508232 -0.99436278 -0.98517588]",0.993006993006993
479829,0.5,"[ 0.09549542 -0.21859096 -0.27551005 -0.72844508  0.74860307 -0.03274025
  0.22830776  0.97321663 -0.02279063  0.23600529]",1.0
773980,0.5,"[-0.61718072 -0.73960731 -0.56159153 -0.59632938  0.9726122  -0.45403866
  0.91505183  0.79256391 -0.22846238  0.56433281]",0.986013986013986
910215,0.5,"[ 0.45914688 -0.99065886 -0.58099999 -0.82453113  0.98722503  0.91914236
  0.99955611  0.28640539  0.37285135  0.97741362]",0.9790209790209791
895438,0.5,"[ 0.72292581 -0.62562347  0.2024896   0.96806031 -0.72938719  0.3763936
 -0.70052013 -0.34088401 -0.26671562 -0.73194695]",0.986013986013986
228808,0.5,"[-0.57055975 -0.3468286  -0.53305035 -0.98732719  0.92207548  0.97623163
 -0.43745556 -0.95812963  0.6992344   0.51843284]",0.9790209790209791
119632,0.5,"[-0.00895479 -0.6048958  -0.11899014  0.15136385  0.04779962 -0.7392945
 -0.17641343  0.56039475  0.97325415  0.04148152]",0.993006993006993
745699,0.5,"[-0.76370122  0.58117842 -0.89472239  0.23656507  0.36068858 -0.03666552
  0.4911589   0.55103578  0.76011042  0.6307541 ]",0.972027972027972
680352,0.5,"[ 0.8357887   0.96753249  0.85601327 -0.08516525 -0.89664115  0.32581939
 -0.66386308  0.30453449 -0.95075939 -0.54439305]",0.986013986013986
717830,0.5,"[ 0.2858031  -0.30234387 -0.77809149 -0.99312751  0.63696113 -0.27480428
 -0.50838491  0.5256159   0.72434798  0.523748  ]",0.9790209790209791
988865,0.5,"[ 0.75386573  0.14499256  0.78030727 -0.18528202 -0.90339358  0.99989889
 -0.99021252 -0.76551654 -0.08945016 -0.60115953]",0.965034965034965
842375,0.5,"[ 0.66242024  0.96703712  0.34093751  0.93684052 -0.97109811 -0.7535632
 -0.05409239 -0.56737667 -0.10735317 -0.67702482]",0.9790209790209791
750994,0.5,"[-0.56401518 -0.96477278  0.54178821 -0.47796694 -0.95067641 -0.6723115
 -0.76307589 -0.5081627  -0.9768716  -0.61491591]",0.965034965034965
719354,0.5,"[ 0.70019374  0.11776044 -0.4072733   0.72145562 -0.92345257 -0.94651735
 -0.06501886  0.39617338 -0.30977468 -0.44692357]",0.965034965034965
329909,0.5,"[-0.3094067  -0.01249566 -0.03914172  0.67818106 -0.62451673  0.95802185
 -0.63480363 -0.23684468 -0.47236624 -0.38926879]",0.986013986013986
599749,0.5,"[ 0.46717623  0.0709571  -0.61219414  0.99997855  0.68519605  0.53682909
  0.97222187  0.93806408  0.5028016   0.12868104]",0.9790209790209791
328876,0.5,"[-0.26057345 -0.99021873  0.94521415 -0.33102856 -0.29160455 -0.51134817
 -0.99860385 -0.55839374 -0.0237507  -0.14477869]",0.986013986013986
161269,0.5,"[ 0.97683785 -0.30910681  0.74632187  0.36262727 -0.96217014 -0.22611418
  0.11032912 -0.95634885 -0.14479782 -0.09380231]",0.9790209790209791
